App Name,Notes,Category,Deployment Model (Verified),Vendor Website,Installation Guide Link,Canonical Vendor,Canonical Product Name,Canonical Key,Canonical Group ID,Possible Duplicate,Enrichment Status,Third Party?,Co-Traveler?
NBWVPRAP002C.prod.inovaad.org,NBWVPRAP002C | 4 | 32768 | 1 | 2 | 286720 | 10.5.32.32 | Info Sec | Azure Migrate | Rapid7 | RITM0394188 InsightVM Scanning Servers CONTACT: Bryon Squier | Nokes DataCenter | Apps | Microsoft Windows Server 2016 or later (64-bit),Cybersecurity,On-Premises,,,,NBWVPRAP002C.prod.inovaad.org,NBWVPRAP002C.prod.inovaad.org,1014,,,,
NBWVPRAP003C.prod.inovaad.org,NBWVPRAP003C | 4 | 16384 | 1 | 2 | 286720 | 10.5.32.33 | Info Sec | Azure Migrate | Rapid7 | RITM0394188 InsightVM Scanning Servers CONTACT: Bryon Squier | Nokes DataCenter | Apps | Microsoft Windows Server 2016 or later (64-bit),Cybersecurity,On-Premises,,,,NBWVPRAP003C.prod.inovaad.org,NBWVPRAP003C.prod.inovaad.org,1015,,,,
NBWVPRAP004C.prod.inovaad.org,NBWVPRAP004C | 4 | 32768 | 1 | 2 | 286720 | 10.5.32.34 | Info Sec | Azure Migrate | Rapid7 | Ngoc Linh Vo Information Security Rapid7 - Nokes Engines TASK2652933/CHG0313696 | Nokes DataCenter | Apps | Microsoft Windows Server 2016 or later (64-bit),Cybersecurity,On-Premises,,,,NBWVPRAP004C.prod.inovaad.org,NBWVPRAP004C.prod.inovaad.org,1016,,,,
NBWVPRAP005C.prod.inovaad.org,NBWVPRAP005C | 4 | 32768 | 1 | 2 | 286720 | 10.5.32.35 | Info Sec | Azure Migrate | Rapid7 | Ngoc Linh Vo Information Security Rapid7 - Nokes Engines TASK2652933/CHG0313696 | Nokes DataCenter | Apps | Microsoft Windows Server 2016 or later (64-bit),Cybersecurity,On-Premises,,,,NBWVPRAP005C.prod.inovaad.org,NBWVPRAP005C.prod.inovaad.org,1017,,,,
NBWVPRAP006C.prod.inovaad.org,NBWVPRAP006C | 4 | 32768 | 1 | 2 | 286720 | 10.5.32.36 | Info Sec | Azure Migrate | Rapid7 | Ngoc Linh Vo Information Security Rapid7 - Nokes Engines TASK2652933/CHG0313696 | Nokes DataCenter | Apps | Microsoft Windows Server 2016 or later (64-bit),Cybersecurity,On-Premises,,,,NBWVPRAP006C.prod.inovaad.org,NBWVPRAP006C.prod.inovaad.org,1018,,,,
NBWVPRAP007C.prod.inovaad.org,NBWVPRAP007C | 4 | 16384 | 1 | 2 | 184320 | 10.4.16.49 | Info Sec | Azure Migrate | Rapid7 | Ngoc Linh Vo Information Security Rapid7 - Nokes Engines TASK2652933/CHG0313696 | Nokes DataCenter | Apps | Microsoft Windows Server 2016 or later (64-bit),Cybersecurity,On-Premises,,,,NBWVPRAP007C.prod.inovaad.org,NBWVPRAP007C.prod.inovaad.org,1019,,,,
NBWVPRAP008C.prod.inovaad.org,NBWVPRAP008C | 4 | 16384 | 1 | 2 | 235520 | 10.4.16.50 | Info Sec | Azure Migrate | Rapid7 | Ngoc Linh Vo Information Security Rapid7 - Nokes Engines TASK2652933/CHG0313696 | Nokes DataCenter | Apps | Microsoft Windows Server 2016 or later (64-bit),Cybersecurity,On-Premises,,,,NBWVPRAP008C.prod.inovaad.org,NBWVPRAP008C.prod.inovaad.org,1020,,,,
NBWVPRAP009C.prod.inovaad.org,NBWVPRAP009C | 4 | 16384 | 1 | 2 | 184320 | 10.4.16.51 | Info Sec | Azure Migrate | Rapid7 | Ngoc Linh Vo Information Security Rapid7 - Nokes Engines TASK2652933/CHG0313696 | Nokes DataCenter | Apps | Microsoft Windows Server 2016 or later (64-bit),Cybersecurity,On-Premises,,,,NBWVPRAP009C.prod.inovaad.org,NBWVPRAP009C.prod.inovaad.org,1021,,,,
NBWVPRAP101C.prod.inovaad.org,NBWVPRAP101C | 16 | 131072 | 1 | 3 | 4368384 | 10.4.16.39 | Info Sec | Azure Migrate | Rapid7 | Ngoc Linh Vo Information Security Rapid7 - Console  TASK2671656/CHG0314356 | Nokes DataCenter | Apps | Microsoft Windows Server 2016 or later (64-bit),Cybersecurity,On-Premises,,,,NBWVPRAP101C.prod.inovaad.org,NBWVPRAP101C.prod.inovaad.org,1022,,,,
NBWVPRAP102C.prod.inovaad.org,NBWVPRAP102C | 4 | 16384 | 1 | 2 | 184320 | 10.4.16.55 | Info Sec | Azure Migrate | Rapid7 | RITM1192999 Ngoc Linh Vo Rapid7 Insight Vulnerability Manage Secondary Console | Nokes DataCenter | Apps | Microsoft Windows Server 2016 or later (64-bit),Cybersecurity,On-Premises,,,,NBWVPRAP102C.prod.inovaad.org,NBWVPRAP102C.prod.inovaad.org,1023,,,,
NBWVPRCM001C.prod.inovaad.org,NBWVPRCM001C | 8 | 12288 | 1 | 2 | 593920 | 10.4.8.29 | Server Operations | Azure Migrate | Quest Recovery Manager | APPLICATION:     Recovery Manager               DEPARTMENT:      IT AD Team     APPLICATION:      Quest Recovery Manager     CONTACT:      Todd Beck / Rick Lovelace     APPLICATION:     Recovery Manager     CONTACT:      Server Engineering     DEPARTMENT:      System Engineering      | Nokes DataCenter | Apps | Microsoft Windows Server 2016 or later (64-bit),Cybersecurity,On-Premises,,,,NBWVPRCM001C.prod.inovaad.org,NBWVPRCM001C.prod.inovaad.org,1043,,,,
NBWVPRCM101C.prod.inovaad.org,NBWVPRCM101C | 8 | 12288 | 1 | 2 | 593920 | 10.4.8.136 | Server Operations | Azure Migrate | Quest Recovery Manager | RITM0509252 - Rick Lovelace Recovery Manager | Nokes DataCenter | Infrastructure 1 | Microsoft Windows Server 2016 or later (64-bit),Cybersecurity,On-Premises,,,,NBWVPRCM101C.prod.inovaad.org,NBWVPRCM101C.prod.inovaad.org,1044,,,,
NBWVPRCM102C.prod.inovaad.org,NBWVPRCM102C | 8 | 12288 | 1 | 2 | 593920 | 10.4.8.140 | Server Operations | Azure Migrate | Quest Recovery Manager | RITM0509252 - Rick Lovelace Recovery Manager | Nokes DataCenter | Infrastructure 1 | Microsoft Windows Server 2016 or later (64-bit),Cybersecurity,On-Premises,,,,NBWVPRCM102C.prod.inovaad.org,NBWVPRCM102C.prod.inovaad.org,1045,,,,
NBWVPSAD105C.net.inova.org,NBWVPSAD105C | 4 | 16384 | 1 | 2 | 184320 | 10.4.11.44 | Server Operations | Azure Migrate | Quest Active Admin | CHG0300556 built off of RITM0928968 TASK2212379  Requestor: Rick Loveless Purpose: Active Administrator Servers | Nokes DataCenter | Infrastructure 1 | Microsoft Windows Server 2016 or later (64-bit),Cybersecurity,On-Premises,,,,NBWVPSAD105C.net.inova.org,NBWVPSAD105C.net.inova.org,1067,,,,
NBWVPSAD106C.net.inova.org,NBWVPSAD106C | 4 | 16384 | 1 | 2 | 184320 | 10.4.11.45 | Server Operations | Azure Migrate | Quest Active Admin | CHG0300556 built off of RITM0928968 TASK2212379  Requestor: Rick Loveless Purpose: Active Administrator Servers | Nokes DataCenter | Infrastructure 1 | Microsoft Windows Server 2016 or later (64-bit),Cybersecurity,On-Premises,,,,NBWVPSAD106C.net.inova.org,NBWVPSAD106C.net.inova.org,1068,,,,
NBWVPSAD107C.net.inova.org,NBWVPSAD107C | 4 | 16384 | 1 | 2 | 184320 | 10.4.11.46 | Server Operations | Azure Migrate | Quest Active Admin | CHG0300556 built off of RITM0928968 TASK2212379  Requestor: Rick Loveless Purpose: Active Administrator Servers | Nokes DataCenter | Infrastructure 1 | Microsoft Windows Server 2016 or later (64-bit),Cybersecurity,On-Premises,,,,NBWVPSAD107C.net.inova.org,NBWVPSAD107C.net.inova.org,1069,,,,
NBWVPSAD108C.prod.inovaad.org,NBWVPSAD108C | 4 | 8192 | 1 | 2 | 174080 | 10.4.11.47 | Server Operations | Azure Migrate | Quest Active Admin | Justin Thompson /  Rick Lovelace Quest Active Administrator Server | Nokes DataCenter | Infrastructure 1 | Microsoft Windows Server 2016 or later (64-bit),Cybersecurity,On-Premises,,,,NBWVPSAD108C.prod.inovaad.org,NBWVPSAD108C.prod.inovaad.org,1070,,,,
Palo Alto User ID,"Palo Alto Networks | 5 | 1 Mission Critical | Upstate | Network | Redeploy | Phase III | Palo Alto User-ID Agent is a software component provided by Palo Alto Networks, a cybersecurity company specializing in network security and firewall solutions. The User-ID Agent is part of Palo Alto's User-ID technology, which enables the identification and mapping of network users to their respective IP addresses or security policies. The User-ID Agent works in conjunction with Palo Alto Networks firewalls to collect user identity information from various sources, such as Active Directory, eDirectory, LDAP servers, and more. It uses various techniques, including log parsing, agentless user mapping, and integration with directory services, to associate user identities with their network activities.",Cybersecurity,On-Premises,,,,Palo Alto User ID,Palo Alto User ID,1222,Yes,,,
Palo Alto User ID,"Palo Alto Networks | 1 Mission Critical | Redeploy | Phase III | Palo Alto User-ID Agent is a software component provided by Palo Alto Networks, a cybersecurity company specializing in network security and firewall solutions. The User-ID Agent is part of Palo Alto's User-ID technology, which enables the identification and mapping of network users to their respective IP addresses or security policies. The User-ID Agent works in conjunction with Palo Alto Networks firewalls to collect user identity information from various sources, such as Active Directory, eDirectory, LDAP servers, and more. It uses various techniques, including log parsing, agentless user mapping, and integration with directory services, to associate user identities with their network activities.",Cybersecurity,On-Premises,,,,Palo Alto User ID,Palo Alto User ID,1222,Yes,,,
Quest Recovery Manager for Exchange,Binary Tree (Quest) | 0 | 9 Unknown | Retain | Simplify and accelerate Exchange recovery and discovery. | Would remain on-prem with the Exchange Server(s),Cybersecurity,On-Premises,,,,Quest Recovery Manager for Exchange,Quest Recovery Manager for Exchange,1270,Yes,,,
Quest Recovery Manager for Exchange,Binary Tree (Quest) | 9 Unknown | Retain | Simplify and accelerate Exchange recovery and discovery.,Cybersecurity,Unknown / Needs vendor check,,,,Quest Recovery Manager for Exchange,Quest Recovery Manager for Exchange,1270,Yes,,,
RefWorks Write-N-Cite,"ProQuest | 0 | 4 Best Effort | Upstate | Epic Amb Clinical | Shauna Jones | Zachary White | TBD | Used at the medical library at GMH. (does not use LDAP)
Workstation application",Cybersecurity,On-Premises,,,,RefWorks Write-N-Cite,RefWorks Write-N-Cite,1285,Yes,,,Yes
RefWorks Write-N-Cite,"ProQuest | 4 Best Effort | TBD | Used at the medical library at GMH. (does not use LDAP)
Workstation application",Cybersecurity,On-Premises,,,,RefWorks Write-N-Cite,RefWorks Write-N-Cite,1285,Yes,,,Yes
SailPoint Active Directory Password Interceptor,"SailPoint Technologies, Inc. | 0 | 9 Unknown | TBD | SailPoint is a leading provider of identity management solutions. Its software helps organizations securely manage and govern user access to various applications, systems, and data. SailPoint's IdentityIQ platform offers a range of features and capabilities to support identity and access management (IAM) processes within an organization.",Cybersecurity,Unknown / Needs vendor check,,,SailPoint,Identity Platform,SailPoint Identity Platform,1304,Yes,,,
SailPoint Active Directory Password Interceptor,"SailPoint Technologies, Inc. | 9 Unknown | TBD | SailPoint is a leading provider of identity management solutions. Its software helps organizations securely manage and govern user access to various applications, systems, and data. SailPoint's IdentityIQ platform offers a range of features and capabilities to support identity and access management (IAM) processes within an organization.",Cybersecurity,Unknown / Needs vendor check,,,SailPoint,Identity Platform,SailPoint Identity Platform,1304,Yes,,,
Site Recovery Manager (SRM),VMware | 6 | 4 Best Effort | Prisma | Systems Admin | Greg Johnson | Retain | Site Recovery Manager (SRM) is a disaster recovery and business continuity solution provided by VMware. It is designed to help organizations protect their virtualized IT infrastructure and ensure high availability of critical applications and data in the event of a disaster or disruptive event.,Cybersecurity,Unknown / Needs vendor check,,,,Site Recovery Manager (SRM),Site Recovery Manager (SRM),1327,Yes,,,
Site Recovery Manager (SRM),VMware | 4 Best Effort | Retain | Site Recovery Manager (SRM) is a disaster recovery and business continuity solution provided by VMware. It is designed to help organizations protect their virtualized IT infrastructure and ensure high availability of critical applications and data in the event of a disaster or disruptive event.,Cybersecurity,Unknown / Needs vendor check,,,,Site Recovery Manager (SRM),Site Recovery Manager (SRM),1327,Yes,,,
Splunk,"Splunk, Inc. | 6 | 3 Important | Upstate | Information Security | Will Rishovd | Kyle Gutschow | Relocate | Cloud Support | Phase 0 Infra | Splunk is a leading software platform that specializes in analyzing and visualizing machine-generated data. It is commonly used for monitoring, searching, analyzing, and visualizing large volumes of data from various sources in real-time. Splunk is known for its capabilities in log management, security information and event management (SIEM), IT operations monitoring, and business analytics.",Cybersecurity,Cloud / SaaS (or Hybrid),,,,Splunk,Splunk,1349,Yes,,,
Splunk,"Splunk, Inc. | 3 Important | Relocate | Cloud Support | Phase 0 Infra | Splunk is a leading software platform that specializes in analyzing and visualizing machine-generated data. It is commonly used for monitoring, searching, analyzing, and visualizing large volumes of data from various sources in real-time. Splunk is known for its capabilities in log management, security information and event management (SIEM), IT operations monitoring, and business analytics.",Cybersecurity,Cloud / SaaS (or Hybrid),,,,Splunk,Splunk,1349,Yes,,,
localhost.localdomain,NBAVPIMP101A | 2 | 16384 | 1 | 1 | 256000 | fe80::250:56ff:fe95:6976 | Collaboration Engineering | Azure Migrate | Imprivata | This Imprivata virtual appliance supports both Imprivata OneSign and Imprivata Confirm ID.     APPLICATION:     Imprivata SSO Appliance      | Nokes DataCenter | Infrastructure 1 | SUSE Linux Enterprise 12 (64-bit),Cybersecurity,On-Premises,,,,localhost.localdomain,localhost.localdomain,1460,,,,
nbavnimp101c,NBAVNIMP101C | 2 | 8192 | 1 | 1 | 256000 | 10.4.8.115 | Solutions Delivery | Azure Migrate | Imprivata | This Imprivata virtual appliance supports both Imprivata OneSign and Imprivata Confirm ID.     APPLICATION:     Imprivata SSO Appliance- NonProd      | Nokes DataCenter | Legacy MS | SUSE Linux Enterprise 12 (64-bit),Cybersecurity,On-Premises,,,,nbavnimp101c,nbavnimp101c,1461,,,,
nbavnimp102c,NBAVNIMP102C | 2 | 8192 | 1 | 1 | 256000 | 10.4.8.116 | Solutions Delivery | Azure Migrate | Imprivata | This Imprivata virtual appliance supports both Imprivata OneSign and Imprivata Confirm ID.     APPLICATION:     Imprivata SSO Appliance- NonProd      | Nokes DataCenter | Legacy MS | SUSE Linux Enterprise 12 (64-bit),Cybersecurity,On-Premises,,,,nbavnimp102c,nbavnimp102c,1462,,,,
nbavpimp101c,NBAVPIMP101C | 2 | 16384 | 1 | 1 | 256000 | 10.4.8.112 | Collaboration Engineering | Azure Migrate | Imprivata | This Imprivata virtual appliance supports both Imprivata OneSign and Imprivata Confirm ID.     APPLICATION:     Imprivata SSO Appliance      | Nokes DataCenter | Infrastructure 1 | SUSE Linux Enterprise 12 (64-bit),Cybersecurity,On-Premises,,,,nbavpimp101c,nbavpimp101c,1475,,,,
nbavpimp102c,NBAVPIMP102C | 2 | 16384 | 1 | 1 | 256000 | 10.4.8.113 | Collaboration Engineering | Azure Migrate | Imprivata | This Imprivata virtual appliance supports both Imprivata OneSign and Imprivata Confirm ID.     APPLICATION:     Imprivata SSO Appliance      | Nokes DataCenter | Infrastructure 1 | SUSE Linux Enterprise 12 (64-bit),Cybersecurity,On-Premises,,,,nbavpimp102c,nbavpimp102c,1476,,,,
sailpoint-va,"NBLVNSLP001A | 3 | 16384 | 1 | 1 | 131072 | 10.4.8.153 | Info Sec | Azure Migrate | Sailpoint | Application: SailPoint Prod Appliance, Support Group: PAM Team, Contact: Victoria Manfredi | Nokes DataCenter | Linux | Other (32-bit)",Cybersecurity,On-Premises,,,SailPoint,Identity Platform,SailPoint Identity Platform,1304,Yes,,,
sailpoint-va,"NBLVNSLP002A | 3 | 16384 | 1 | 1 | 131072 | 10.4.8.158 | Info Sec | Azure Migrate | Sailpoint | Application: SailPoint Prod Appliance, Support Group: PAM Team, Contact: Victoria Manfredi | Nokes DataCenter | Linux | Other (32-bit)",Cybersecurity,On-Premises,,,SailPoint,Identity Platform,SailPoint Identity Platform,1304,Yes,,,
sailpoint-va,"NBLVPSLP001A | 4 | 16384 | 1 | 1 | 262144 | 10.4.8.154 | Info Sec | Azure Migrate | Sailpoint | Application: SailPoint Prod Appliance, Support Group: PAM Team, Contact: Victoria Manfredi | Nokes DataCenter | Linux | Other (32-bit)",Cybersecurity,On-Premises,,,SailPoint,Identity Platform,SailPoint Identity Platform,1304,Yes,,,
sailpoint-va,"NBLVPSLP002A | 4 | 16384 | 1 | 1 | 262144 | 10.4.8.155 | Info Sec | Azure Migrate | Sailpoint | Application: SailPoint Prod Appliance, Support Group: PAM Team, Contact: Victoria Manfredi | Nokes DataCenter | Linux | Other (32-bit)",Cybersecurity,On-Premises,,,SailPoint,Identity Platform,SailPoint Identity Platform,1304,Yes,,,
sailpoint-va,"NBLVPSLP003A | 4 | 16384 | 1 | 1 | 262144 | 10.4.8.156 | Info Sec | Azure Migrate | Sailpoint | Application: SailPoint Prod Appliance, Support Group: PAM Team, Contact: Victoria Manfredi | Nokes DataCenter | Linux | Other (32-bit)",Cybersecurity,On-Premises,,,SailPoint,Identity Platform,SailPoint Identity Platform,1304,Yes,,,
sailpoint-va,"NBLVPSLP004A | 4 | 16384 | 1 | 1 | 262144 | 10.4.8.157 | Info Sec | Azure Migrate | Sailpoint | Application: SailPoint Prod Appliance, Support Group: PAM Team, Contact: Victoria Manfredi | Nokes DataCenter | Linux | Other (32-bit)",Cybersecurity,On-Premises,,,SailPoint,Identity Platform,SailPoint Identity Platform,1304,Yes,,,
,Binary Tree (Quest) | GPOADmin | Binary Tree (Quest) - GPOADmin,Cybersecurity,Unknown / Needs vendor check,,,,,,1,Yes,,Yes,Yes
,Rapid7 | InSightVM | Rapid7 - InSightVM,Cybersecurity,Unknown / Needs vendor check,,,,,,1,Yes,,Yes,Yes
,"NBLVPQRD001A | 12 | 65536 | 1 | 2 | 573440 | Info Sec | Azure Migrate | qRadar | Application: qRadar, Support Group: IT CDOC, Contact: Michael Tolbert  | Nokes DataCenter | Linux | Red Hat Enterprise Linux 7 (64-bit)",Cybersecurity,Unknown / Needs vendor check,,,,,,1,Yes,,Yes,Yes
Abbott IM,"Abbott Labratories | 6 | 2 Critical | Prisma | Epic Beaker (Lab) | Kaleb Ross | Veronica Nevel | Retire | No | Lab Chemistry analyzers middleware | Will be decomissioned, replaced by Roche Infinity date TBD (Q1 24)",Laboratory Systems,Unknown / Needs vendor check,,,,Abbott IM,Abbott IM,29,Yes,,,Yes
Abbott IM,Abbott Labratories | 2 Critical | Retire | Lab Chemistry analyzers middleware,Laboratory Systems,Unknown / Needs vendor check,,,,Abbott IM,Abbott IM,29,Yes,,,Yes
AccuWin Pro,"Suntech Medical | 1 | 9 Unknown | Relocate | Cloud Support | Phase II | AccuWin Pro 4 ABPM is a software application developed by SunTech Medical for use with their ambulatory blood pressure monitoring (ABPM) systems. ABPM is a method of monitoring blood pressure over a 24-hour period, providing more comprehensive and accurate data compared to traditional office-based blood pressure measurements.",Laboratory Systems,Cloud / SaaS (or Hybrid),,,,AccuWin Pro,AccuWin Pro,35,Yes,,,
AccuWin Pro,"Suntech Medical | 9 Unknown | Relocate | Cloud Support | Phase II | AccuWin Pro 4 ABPM is a software application developed by SunTech Medical for use with their ambulatory blood pressure monitoring (ABPM) systems. ABPM is a method of monitoring blood pressure over a 24-hour period, providing more comprehensive and accurate data compared to traditional office-based blood pressure measurements.",Laboratory Systems,Cloud / SaaS (or Hybrid),,,,AccuWin Pro,AccuWin Pro,35,Yes,,,
Alaris,"BD (Becton, Dickinson and Company) | 9 | 9 Unknown | Retain | Alaris System Manager is a management software that captures the data and analytics of infusion information for the Alaris health systems and Alaris infusion pumps. This software captures infusion activity and data and can sync clinical pumps electronically, which may reduce errors and the need for manual entry. The system allows healthcare professionals to remotely monitor and control the settings of these devices, ensuring safe and accurate medication administration for patients. It also provides comprehensive data reporting and analytics to enhance clinical workflow and patient safety.
The Alaris product line includes infusion pumps, syringe pumps, and infusion management software. These devices are designed to deliver medications, fluids, and blood products to patients accurately and reliably, while the software provides features such as drug libraries, dose error reduction systems, and integration with electronic health records (EHR) for enhanced medication management.",Laboratory Systems,On-Premises,,,,Alaris,Alaris,44,Yes,,,
Alaris,"BD (Becton, Dickinson and Company) | 9 Unknown | Retain | Alaris System Manager is a management software that captures the data and analytics of infusion information for the Alaris health systems and Alaris infusion pumps. This software captures infusion activity and data and can sync clinical pumps electronically, which may reduce errors and the need for manual entry. The system allows healthcare professionals to remotely monitor and control the settings of these devices, ensuring safe and accurate medication administration for patients. It also provides comprehensive data reporting and analytics to enhance clinical workflow and patient safety.
The Alaris product line includes infusion pumps, syringe pumps, and infusion management software. These devices are designed to deliver medications, fluids, and blood products to patients accurately and reliably, while the software provides features such as drug libraries, dose error reduction systems, and integration with electronic health records (EHR) for enhanced medication management.",Laboratory Systems,On-Premises,,,,Alaris,Alaris,44,Yes,,,
Aqure,"Radiometer | 6 | 3 Important | Prisma | Epic Beaker (Lab) | Kaleb Ross | Krista Painter | Relocate | Phase III | AQURE is a blood gas analyzer system developed by Radiometer Medical ApS. It is designed for point-of-care testing and provides rapid and accurate measurement of blood gas parameters, electrolytes, and metabolites. | Respiratory blood gas monitoring. Blood gas analyzers throughout all market areas interface thru a single Aqure server into Epic.",Laboratory Systems,On-Premises,,,,Aqure,Aqure,58,Yes,,,Yes
Aqure,"Radiometer | 3 Important | Relocate | Phase III | AQURE is a blood gas analyzer system developed by Radiometer Medical ApS. It is designed for point-of-care testing and provides rapid and accurate measurement of blood gas parameters, electrolytes, and metabolites.",Laboratory Systems,Unknown / Needs vendor check,,,,Aqure,Aqure,58,Yes,,,Yes
BD Pyxis/Carefusion,"BD (Becton, Dickinson and Company) | 20 | 1 Mission Critical | Pharmacy Systems | Kyle Porter | Relocate | Phase III | No | The Pyxis Carefusion system is designed to automate and streamline medication dispensing and administration processes in healthcare facilities, such as hospitals, long-term care facilities, and pharmacies. | This system is often integrated with hospital information systems for Inbound/ADT, Lab, and Outbound.
The back-end database and integration servers should work to be migrated to Azure VMs; suggest analyzing expected bandwidth between back-end in Azure and on-prem supply stations and other on-prem systems it integrates with. | Carefusion is a subsidiary of BD Pyxis. Need to know which modules Primsa is using - https://www.bd.com/en-us/search?q=Pyxis&tabindex=1&publishedAt=all-dates",Laboratory Systems,On-Premises,,,,BD Pyxis/Carefusion,BD Pyxis/Carefusion,76,Yes,,,
BreezeSuite,"MCG Diagnostics | 7 | 9 Unknown | Relocate | Cloud Support | Phase II | Yes | BreezeSuite MultiUser networking software connects cardiorespiratory diagnostic systems and review stations so data can be shared and stored in a central Microsoft SQL Server® database. This networking software allows all workstations to share one database from either a local area network (LAN) or a wide area network (WAN). Reports, reference values, and statements can be standardized from each site. BreezeConnect HL7 interface software allows any number of networked BreezeSuite cardiorespiratory diagnostic systems to send or receive data from the facility’s electronic medical records (EMR) system.",Laboratory Systems,Cloud / SaaS (or Hybrid),,,,BreezeSuite,BreezeSuite,88,Yes,,,
BreezeSuite,"MCG Diagnostics | 9 Unknown | Relocate | Cloud Support | Phase II | BreezeSuite MultiUser networking software connects cardiorespiratory diagnostic systems and review stations so data can be shared and stored in a central Microsoft SQL Server® database. This networking software allows all workstations to share one database from either a local area network (LAN) or a wide area network (WAN). Reports, reference values, and statements can be standardized from each site. BreezeConnect HL7 interface software allows any number of networked BreezeSuite cardiorespiratory diagnostic systems to send or receive data from the facility’s electronic medical records (EMR) system.",Laboratory Systems,Cloud / SaaS (or Hybrid),,,,BreezeSuite,BreezeSuite,88,Yes,,,
Carelink,"Medtronic | 0 | 3 Important | Prisma | Epic Amb Clinical | Shauna Jones | Vicki Bridner | Retain | Software used for reading data off of blood glucose monitor. Relays data to carelink SaaS, no server(s)",Laboratory Systems,Cloud / SaaS (or Hybrid),,,,Carelink,Carelink,117,Yes,,,Yes
Carelink,"Medtronic | 3 Important | Retain | Software used for reading data off of blood glucose monitor. Relays data to carelink SaaS, no server(s)",Laboratory Systems,Cloud / SaaS (or Hybrid),,,,Carelink,Carelink,117,Yes,,,Yes
Centricity Perinatal Software,"GE HealthCare | 9 | 9 Unknown | Clinical Device Integration GVL | Kaleb Ross | Ricky Smith | Retain | Centricity Perinatal is a software solution developed by GE Healthcare specifically designed for obstetric and perinatal care. It is an integrated electronic medical record (EMR) system that helps healthcare providers streamline their workflows, enhance patient safety, and improve outcomes in the perinatal and labor and delivery units. | This system is often integrated with hospital information systems for Inbound/ADT, Lab, and Outbound.",Laboratory Systems,On-Premises,,,,Centricity Perinatal Software,Centricity Perinatal Software,123,Yes,,,
Centron Environmental Monitoring System,"Rees Scientific | 2 | 3 Important | Midlands | Clinical Device Integration GVL | Kaleb Ross | Christopher Knight | Retire | Centron's environmental monitoring systems consist of sensors or probes that are placed in critical areas or equipment to monitor the desired parameters. The data collected by these sensors is then transmitted to a central monitoring system, which provides real-time monitoring, alerts, and reporting functionalities. This allows users to proactively manage environmental conditions and address any potential issues before they escalate. | Rees Scientific Centron Temperature monitoring  of Pharmacy and Lab refrigerators
Will be decomissioned and replaced by Centrak",Laboratory Systems,On-Premises,,,,Centron Environmental Monitoring System,Centron Environmental Monitoring System,125,Yes,,,
CoPath,"Cerner Corporation | 9 | 9 Unknown | Relocate | Phase III | 1.0 | laboratory information system (LIS) designed specifically for anatomical pathology and pathology laboratory workflows | The servers are almost all 2008 R2. Likely there is data that is subject to retention regulations. Some servers could potentially be decommissioned and the rest moved into Azure and powered down except when needed. If still in use, then the fax server could be interesting: would likely need to remain on-premises.",Laboratory Systems,On-Premises,,,,CoPath,CoPath,143,Yes,,,
CoPath,Cerner Corporation | 9 Unknown | Relocate | Phase III | 1.0 | laboratory information system (LIS) designed specifically for anatomical pathology and pathology laboratory workflows,Laboratory Systems,Unknown / Needs vendor check,,,,CoPath,CoPath,143,Yes,,,
Cooper Insight Fetal Monitor,Cooper | 0 | 3 Important | Upstate | Epic Amb Clinical | Shauna Jones | Becca Gilmer | Retire | No | Fetal monitoring monitor for OB/GYN clinics in the Upstate. | Replaced fully by OBIX in 2021. No Servers,Laboratory Systems,On-Premises,,,,Cooper Insight Fetal Monitor,Cooper Insight Fetal Monitor,156,Yes,,,Yes
DCWVNBDE001W.nonprod.inovaad.org,DCWVNBDE001W | 1 | 4096 | 1 | 2 | 184320 | 10.5.80.50 | Ancillary Clinical Apps | Azure Migrate | Blood Donor eRegistration | DEPARTMENT:      Blood Donor Services     APPLICATION:      eRegistration     CONTACT:      Laurie Eccleston     APPLICATION:     Blood Donor Services eRegistration - TEST     CONTACT:      Francis Trinidad     DEPARTMENT:      Server Engineering      | Nokes DataCenter | Apps3 NonProd | Microsoft Windows Server 2012 (64-bit),Laboratory Systems,On-Premises,,,,DCWVNBDE001W.nonprod.inovaad.org,DCWVNBDE001W.nonprod.inovaad.org,162,,,,
DCWVPBDE001W.prod.inovaad.org,DCWVPBDE001W | 1 | 4096 | 1 | 2 | 184320 | 10.5.9.35 | Ancillary Clinical Apps | Azure Migrate | Blood Donor eRegistration | DEPARTMENT:      Blood Donor Services     APPLICATION:      eRegistration     CONTACT:      Laurie Eccleston     APPLICATION:     Blood Donor Services eRegistration     CONTACT:      Francis Trinidad     DEPARTMENT:      Server Engineering      | Nokes DataCenter | Apps | Microsoft Windows Server 2012 (64-bit),Laboratory Systems,On-Premises,,,,DCWVPBDE001W.prod.inovaad.org,DCWVPBDE001W.prod.inovaad.org,171,,,,
